날짜,조식,조식열량,중식,중식열량,석식,석식열량,증특식,증특식열량,열량합계
"2023-01-28","고구마샐러드(01)","168.88kcal","","","","","","","2343.75kcal"
"2023-01-28","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","2343.75kcal"
"2023-01-29","밥","359.37kcal","불닭덮밥(15)","633.61kcal","밥","359.37kcal","","","2777.31kcal"
"2023-01-29","사골우거지국(05)","59.84kcal","두부맑은국(05)(09)","39.38kcal","쇠고기호박수제비(05)","38.68kcal","","","2777.31kcal"
"2023-01-29","큐브스테이크(10)","257.41kcal","너비아니구이(05)(06)(10)(16)","277.45kcal","오징어삼겹볶음(05)(06)(10)(17)","415.55kcal","","","2777.31kcal"
"2023-01-29","감자매운조림(05)(06)","51kcal","크로크무슈","0kcal","무생채(09)","22.45kcal","","","2777.31kcal"
"2023-01-29","깍두기(09)","15.2kcal","갓김치","0kcal","배추김치","0kcal","","","2777.31kcal"
"2023-01-29","우유(백색우유(200ML,연간))(02)","122kcal","과일푸딩","126kcal","","","","","2777.31kcal"
"2023-01-30","밥","359.37kcal","찰보리비빔밥(05)","420.63kcal","흑미밥","378kcal","","","2180.09kcal"
"2023-01-30","생선묵국(05)","13.23kcal","팽이버섯된장국(05)","22.88kcal","나가사끼짬뽕찌개(05)(06)(08)(09)(10)(15)(16)(17)(18)","116.28kcal","","","2180.09kcal"
"2023-01-30","비엔나소시지케찹볶음","10.41kcal","쇠고기볶음고추장","33.15kcal","함박스테이크(06)(10)(16)","334.29kcal","","","2180.09kcal"
"2023-01-30","조미김","0kcal","조기구이","101.75kcal","딸기드레싱샐러드","40.9kcal","","","2180.09kcal"
"2023-01-30","우엉조림(완)","75.2kcal","파김치","0kcal","백김치","0kcal","","","2180.09kcal"
"2023-01-30","배추김치","0kcal","유산균 발효 음료(02)","56kcal","매일유업,썬업오렌지,200ml","96kcal","","","2180.09kcal"
"2023-01-30","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","2180.09kcal"
"2023-01-31","밥","359.37kcal","고기국수(01)(05)","928.93kcal","밀쌀밥","363.74kcal","","","5042.80kcal"
"2023-01-31","쇠고기무국(05)","75.8kcal","국수양념장(05)(06)","9.59kcal","꼬리곰탕","2009.87kcal","","","5042.80kcal"
"2023-01-31","볼어묵볶음(05)(06)","16.48kcal","현무암치킨(17)","366.61kcal","버섯야채볶음(05)(06)","33.93kcal","","","5042.80kcal"
"2023-01-31","오징어채볶음(01)(05)(06)(17)","53.48kcal","웨지감자구이(02)(05)(06)","274.25kcal","쫄면콩나물무침(05)(06)","243.18kcal","","","5042.80kcal"
"2023-01-31","배추김치","0kcal","배추김치","0kcal","가공우유(딸기)(02)","116kcal","","","5042.80kcal"
"2023-01-31","우유(백색우유(200ML,연간))(02)","122kcal","감귤","54.366kcal","깍두기(09)","15.2kcal","","","5042.80kcal"
"2023-11-01","버터간장계란밥(02)(05)(06)","734.44kcal","통새우볶음밥(완)(05)(09)","327.71kcal","순대국밥(05)(06)(09)(10)","625.54kcal","","","4010.82kcal"
"2023-11-01","쇠고기미역국(05)(06)(16)","36.81kcal","닭장각짬뽕탕(05)(09)(15)","311.81kcal","양념치킨(05)(06)(12)(15)","947.9kcal","","","4010.82kcal"
"2023-11-01","스팸구이(10)(12)(13)","389kcal","돈육버섯잡채(05)(06)","248.54kcal","치킨무","7.5kcal","","","4010.82kcal"
"2023-11-01","오이지무침","3.19kcal","알배기배추겉절이(09)(16)","24.03kcal","양배추샐러드(01)(05)(12)","130.27kcal","","","4010.82kcal"
"2023-11-01","배추김치(09)","47.04kcal","티라미수컵케익","0kcal","배추김치(09)","47.04kcal","","","4010.82kcal"
"2023-11-01","우유(백색우유(200ML,연간))(02)","130kcal","","","맛밤","","","","4010.82kcal"
"2023-11-02","밥","237.5kcal","얼큰칼국수&찰보리밥(05)(06)(16)","518.73kcal","베이컨김치덮밥(05)(06)(10)(18)","588.53kcal","","","3435.32kcal"
"2023-11-02","물만둣국(01)(05)(06)(10)(16)","298.95kcal","마늘삼겹살구이(10)","1072.06kcal","콩나물무채국(05)(16)","29.86kcal","","","3435.32kcal"
"2023-11-02","비엔나소시지케찹볶음(05)(06)(10)(12)","133.19kcal","보쌈김치(09)","55.48kcal","단무지","275kcal","","","3435.32kcal"
"2023-11-02","조미김","0kcal","사인머스켓","45kcal","크래미양상추샐러드(01)(05)(06)(08)","145.79kcal","","","3435.32kcal"
"2023-11-02","오이고추장무침","20.03kcal","","","청포도음료","0kcal","","","3435.32kcal"
"2023-11-02","깍두기(09)","15.2kcal","","","","","","","3435.32kcal"
"2023-11-03","밥","237.5kcal","흑미밥","243.75kcal","수제카레밥","488.29kcal","","","3130.66kcal"
"2023-11-03","꼬리곰탕(완,조식)(16)","221.56kcal","돼지갈비김치찌개(05)(06)(10)(16)","321.53kcal","유부장국(01)(05)(06)","54.27kcal","","","3130.66kcal"
"2023-11-03","매콤사각어묵볶음(05)(06)","153.31kcal","아삭이고추된장무침(05)(06)","35.78kcal","깐쇼새우(01)(02)(05)(06)(09)(12)","691.9kcal","","","3130.66kcal"
"2023-11-03","알마늘오징어젓무침(17)","46.62kcal","간장메추리알(01)(05)(06)","202.95kcal","배추김치(수의)","10kcal","","","3130.66kcal"
"2023-11-03","깍두기(09)","15.2kcal","총각김치(09)","8kcal","아이스크림 콘,완제품(02)","270kcal","","","3130.66kcal"
"2023-11-03","우유(백색우유(200ML,연간))(02)","130kcal","","","","","","","3130.66kcal"
"2023-11-04","주먹밥(참치마요맛)(01)(05)(07)","340kcal","라면(즉석 컵)(06)","365kcal","밥","237.5kcal","","","2832.76kcal"
"2023-11-04","딸기맘모스빵(01)(02)(04)(05)(06)(12)","691kcal","","","감자국(05)(06)","82.52kcal","","","2832.76kcal"
"2023-11-04","옥수수스프(02)(06)","46.88kcal","","","돼지불고기(05)(06)(10)","410.63kcal","","","2832.76kcal"
"2023-11-04","시리얼","218.06kcal","","","무부추무침(05)(06)(09)","15.75kcal","","","2832.76kcal"
"2023-11-04","핫치킨샐러드(01)(05)(15)","119.32kcal","","","배추김치(수의)","10kcal","","","2832.76kcal"
"2023-11-04","우유(백색우유(200ML,연간))(02)","130kcal","","","유산균 발효유(3사교)(02)","84.5kcal","","","2832.76kcal"
"2023-11-04","바나나","81.6kcal","","","","","","","2832.76kcal"
"2023-11-05","밥","237.5kcal","밥","237.5kcal","밥","237.5kcal","","","2695.75kcal"
"2023-11-05","두부김치국(05)(06)(16)","34.11kcal","쇠고기육개장(05)(06)(16)","122.09kcal","호박된장찌개(05)(06)","90.34kcal","","","2695.75kcal"
"2023-11-05","닭간장소스찜(05)(06)(15)(16)","396.77kcal","함박스테이크&소스(05)(06)(10)(16)","629.89kcal","조미김","0kcal","","","2695.75kcal"
"2023-11-05","양파간장절임","21.06kcal","감자샐러드(01)(02)(06)","87.5kcal","소불고기(05)(16)","405.45kcal","","","2695.75kcal"
"2023-11-05","가공우유(초코)(02)","94kcal","배추김치(수의)","10kcal","콩나물무침(05)(06)","28.84kcal","","","2695.75kcal"
"2023-11-05","총각김치(09)","8kcal","해태에이치티비,갈아만든배,238ml","40kcal","깍두기(09)","15.2kcal","","","2695.75kcal"
"2023-11-06","밥","237.5kcal","잡곡밥","243.9kcal","현미밥","255.65kcal","","","2838.13kcal"
"2023-11-06","맑은순두부계란탕(01)(05)(06)(09)(16)","99.46kcal","낙지연포탕(05)(06)(09)(17)(18)","97.94kcal","감자계란국(01)(09)(16)","83.19kcal","","","2838.13kcal"
"2023-11-06","햄슬라이스야채볶음(05)(06)(10)","189.08kcal","파인애플돼지갈비찜(05)(10)","794.49kcal","생선가스&콘타르타르(01)(05)(06)","549.61kcal","","","2838.13kcal"
"2023-11-06","무말랭이무침","57.35kcal","도토리묵무침(05)(06)(16)","18.36kcal","흑임자샐러드(01)(05)","53.1kcal","","","2838.13kcal"
"2023-11-06","배추김치(수의)","10kcal","순무김치","0kcal","배추김치(수의)","10kcal","","","2838.13kcal"
"2023-11-06","우유(백색우유(200ML,연간))(02)","130kcal","","","대추방울토마토(비생산기)(12)","8.5kcal","","","2838.13kcal"
"2023-11-07","밥","237.5kcal","베이컨크림스파게티(02)(10)","891.63kcal","밀쌀밥","238.24kcal","","","3151.72kcal"
"2023-01-09","밥","359.37kcal","하이라이스(02)(05)(06)(10)(12)(15)(16)","598.96kcal","햄야채볶음밥(10)(18)","531.56kcal","","","2897.84kcal"
