날짜,조식,조식열량,중식,중식열량,석식,석식열량,증특식,증특식열량,열량합계
"2025-01-06(월)","배추김치(09)","47.04kcal","배추김치&단무지(09)","23.52kcal","깍두기(09)","15.2kcal","","","4072.77kcal"
"2025-01-07(화)","쌀밥","319.5kcal","흑미밥(소량)","107.5kcal","잡곡밥","327.9kcal","","","3179.37kcal"
"2025-01-07(화)","들깨수제비(05)(06)","225.94kcal","울면(01)(05)(06)(09)(17)","486.43kcal","팽이버섯된장국(05)(06)","50.53kcal","","","3179.37kcal"
"2025-01-07(화)","김치볶음(09)","58.18kcal","깍둑단무지","0kcal","베이컨양배추볶음(10)(18)","170.03kcal","","","3179.37kcal"
"2025-01-07(화)","두부찜(05)","276kcal","알배기배추겉절이(09)(16)","24.33kcal","파인애플함박스테이크(05)(06)(10)(12)(15)(16)","295.43kcal","","","3179.37kcal"
"2025-01-07(화)","닭다리살소금구이(볶음)(15)","516.33kcal","후식(1종)(급식부대별 품목 알러지 별도 표기 요망)","39kcal","사과(후지)","42.63kcal","","","3179.37kcal"
"2025-01-07(화)","백색우유(02)","58.5kcal","어묵바(02)(05)(06)(12)","134.1kcal","배추김치(09)","47.04kcal","","","3179.37kcal"
"2025-01-08(수)","쌀밥","319.5kcal","현미밥","337.65kcal","찰현미밥","337.65kcal","","","3013.32kcal"
"2025-01-08(수)","얼큰황태채국(01)(05)(06)(09)(16)","62.39kcal","시래기육개장(05)(06)(16)","92.42kcal","닭곰탕(15)(16)","327.34kcal","","","3013.32kcal"
"2025-01-08(수)","땅콩조림(04)(05)(06)","48.26kcal","돈안심김치찜(05)(06)(10)","228.56kcal","청파래오징어까스(01)(05)(06)(17)","602.7kcal","","","3013.32kcal"
"2025-01-08(수)","동그랑땡데리야끼조림(02)(05)(06)(10)(15)(16)(18)","354.42kcal","계란말이(01)(12)","137.35kcal","오이고추장무침(06)","29.93kcal","","","3013.32kcal"
"2025-01-08(수)","백색우유(02)","58.5kcal","워터젤리(망고감귤)","0kcal","감귤","54.37kcal","","","3013.32kcal"
"2025-01-08(수)","깍두기(09)","15.2kcal","순무김치(09)","0kcal","파김치(09)","7.08kcal","","","3013.32kcal"
"2025-01-09(목)","쌀밥","319.5kcal","병아리콩밥","319.5kcal","블랙버거(01)(02)(05)(06)(10)(12)(13)(16)(17)","647.93kcal","","","3354.40kcal"
"2025-01-09(목)","쇠고기미역국(05)(06)(16)","38.61kcal","감자옹심이국(05)(06)(16)","119.19kcal","해시브라운(06)(12)","417.29kcal","","","3354.40kcal"
"2025-01-09(목)","햄계란찜(01)(09)(10)","157.66kcal","닭매운찜(05)(06)(15)","404.57kcal","시리얼(02)(04)(06)","218.06kcal","","","3354.40kcal"
"2025-01-09(목)","파채너비아니구이(05)(06)(10)(12)(15)(16)(18)","380.25kcal","삼치순살조림(구이)(05)(06)(07)","95.6kcal","에그마요샐러드(01)(05)","34.5kcal","","","3354.40kcal"
"2025-01-09(목)","배추김치(09)","47.04kcal","단감","51kcal","탄산음료(콜라)","0kcal","","","3354.40kcal"
"2025-01-09(목)","","0","깍두기(09)","15.2kcal","백색우유(02)","58.5kcal","","","3354.40kcal"
"2025-01-09(목)","","0","","0","할라피뇨","30kcal","","","3354.40kcal"
"2025-01-10(금)","쌀밥","319.5kcal","잡곡밥","327.9kcal","흑미밥","338.25kcal","","","2665.97kcal"
"2025-01-10(금)","콩나물국(05)(06)(09)","25.16kcal","돼지김치콩비지찌개(05)(09)(10)","160.2kcal","스팸짜글이(05)(06)(09)(10)(13)(16)","285.2kcal","","","2665.97kcal"
"2025-01-10(금)","사각어묵볶음(05)(06)(18)","20.21kcal","제육간장불고기(05)(10)","56.39kcal","쭈꾸미삼겹살볶음(05)(06)(10)","467.59kcal","","","2665.97kcal"
"2025-01-10(금)","메추리알고추장조림(01)(05)(06)(12)","260.97kcal","궁채들깨나물볶음(05)(06)(16)","28.23kcal","양배추쌈(05)(06)","67.43kcal","","","2665.97kcal"
"2025-01-10(금)","백색우유(02)","58.5kcal","토핑형발효유(02)(06)","165kcal","총각김치(09)","22kcal","","","2665.97kcal"
"2025-01-10(금)","배추김치(09)","47.04kcal","갓김치(09)","16.4kcal","","0","","","2665.97kcal"
"2025-01-11(토)","가리비크림스파게티(브런치)(02)(06)(17)(18)","431.83kcal","건빵(개선품)(01)(02)(03)","249kcal","쌀밥","319.5kcal","","","2723.79kcal"
"2025-01-11(토)","스테프핫도그(01)(02)(05)(06)(10)(16)","500.43kcal","","0","사골우거지국(05)(06)(16)","49.89kcal","","","2723.79kcal"
"2024-12-19","오이양파무침(05)(06)","22.45kcal","시금치된장무침(05)(06)(16)","23.44kcal","탄산음료(콜라)","0kcal","","","3823.53kcal"
"2024-12-19","두유(05)","250kcal","감귤","54.37kcal","맛감자튀김(05)(12)","415.6kcal","","","3823.53kcal"
"2024-12-19","배추김치(09)","47.04kcal","깍두기(09)","15.2kcal","시리얼(02)(04)(06)","218.06kcal","","","3823.53kcal"
"2024-12-19","","","","","딸기드레싱샐러드(02)","88.66kcal","","","3823.53kcal"
"2024-12-20","쌀밥","319.5kcal","찰보리비빔밥&볶음고추장(01)(05)(16)","579.03kcal","잡곡밥","327.9kcal","","","3165.68kcal"
"2024-12-20","순두부찌개(01)(05)(06)(09)(10)(16)","130.89kcal","강된장찌개(05)(06)(18)","132.26kcal","순대내장탕(05)(06)(09)(10)(16)","421.58kcal","","","3165.68kcal"
"2024-12-20","쇠고기야채볶음(05)(06)(16)","292.79kcal","치즈핫도그(02)(05)(06)(10)(12)","172kcal","양념닭갈비(05)(06)(15)","137.55kcal","","","3165.68kcal"
"2024-12-20","명이나물(05)(06)","22kcal","차돌박이부추무침(05)(06)(16)","217.79kcal","오이지무침","3.19kcal","","","3165.68kcal"
"2024-12-20","바나나우유(02)","190kcal","곶감","109.92kcal","초콜렛","0kcal","","","3165.68kcal"
"2024-12-20","배추김치(09)","47.04kcal","배추김치(09)","47.04kcal","깍두기(09)","15.2kcal","","","3165.68kcal"
"2024-12-21","대패삼겹살볶음밥(완)(02)(05)(06)(09)(10)(16)","870kcal","컵라면(06)","365kcal","쌀밥","319.5kcal","","","3071.71kcal"
"2024-12-21","유부장국(01)(05)(06)","39.02kcal","","","근대쇠고기된장국(05)(06)(16)","50.91kcal","","","3071.71kcal"
"2024-12-21","버팔로윙(05)(06)(15)","402.4kcal","","","돈사태김치찜(05)(06)(10)","604.51kcal","","","3071.71kcal"
"2024-12-21","백색우유(02)","65kcal","","","연근조림(05)(06)","45kcal","","","3071.71kcal"
"2024-12-21","양상추샐러드(01)(05)(06)(12)(16)(18)","38.11kcal","","","후식(1종)(급식부대별 품목 알러지 별도 표기 요망)","39kcal","","","3071.71kcal"
"2024-12-21","바나나","0kcal","","","깍두기(09)","15.2kcal","","","3071.71kcal"
"2024-12-21","시리얼(02)(04)(06)","218.06kcal","","","","","","","3071.71kcal"
"2024-12-22","해시브라운(06)(12)","335.37kcal","쌀밥","319.5kcal","쌀밥","319.5kcal","","","2451.49kcal"
"2024-12-22","치킨브리또(01)(06)(12)(15)","267.13kcal","사골우거지국(05)(06)(16)","49.89kcal","얼큰콩나물국(05)(09)(16)","27.65kcal","","","2451.49kcal"
"2024-12-22","시리얼(02)(04)(06)","218.06kcal","블랙페퍼함박스테이크(05)(06)(10)(16)","261.93kcal","제육간장불고기(05)(10)","92.39kcal","","","2451.49kcal"
"2024-12-22","백색우유(02)","65kcal","단호박샐러드(01)(02)(05)","133.9kcal","락교낙지젓무침(17)","70.05kcal","","","2451.49kcal"
"2024-12-22","멕시칸샐러드(01)(05)(10)(13)","228.88kcal","컵형아이스크림(01)","0kcal","깍두기(09)","15.2kcal","","","2451.49kcal"
"2024-12-22","","","배추김치(09)","47.04kcal","","","","","2451.49kcal"
"2024-12-23","쌀밥","319.5kcal","통밀잡곡밥(06)","284.92kcal","조밥","337.35kcal","","","2534.92kcal"
"2024-12-23","쇠고기탕국(05)(06)(16)","95.66kcal","오징어무국(05)(06)(16)(17)","80.12kcal","닭고기미역국(05)(06)(15)(16)","56.34kcal","","","2534.92kcal"
"2024-12-23","햄구이(06)(10)(12)(13)","290.2kcal","부채살불고기(05)(06)(16)","270kcal","순대야채볶음(05)(06)(10)","238.97kcal","","","2534.92kcal"
"2024-12-23","땅콩멸치조림(04)(05)(06)","47.45kcal","부들어묵볶음(05)(06)(18)","127.28kcal","햄감자채볶음(06)(10)(13)","132.45kcal","","","2534.92kcal"
"2024-12-23","백색우유(02)","65kcal","ABC주스","31.8kcal","단감","51kcal","","","2534.92kcal"
"2024-12-23","배추김치(09)","47.04kcal","배추김치(09)","47.04kcal","갓김치(수의)(09)","12.8kcal","","","2534.92kcal"
"2024-12-24","쌀밥(소량)","106.5kcal","깨묵파스타(02)(16)","542.55kcal","흑미밥","338.25kcal","","","3800.92kcal"
"2024-12-24","사골떡국(01)(05)(06)(10)(16)","425.36kcal","","107.49kcal","얼큰두부탕(05)(06)(09)(16)","38.76kcal","","","3800.92kcal"
"2024-12-24","닭살간장볶음(05)(15)","480.25kcal","롤까스(1개)(02)(05)(06)(10)(12)(16)(18)","591.4kcal","무뼈닭발(02)(05)(06)(15)(16)(18)","20.11kcal","","","3800.92kcal"
"2024-12-24","베이컨양배추볶음(10)(18)","170.03kcal","야채크림스프(02)(06)","26.32kcal","옛날통닭(05)(06)(15)","744kcal","","","3800.92kcal"
"2024-12-24","백색우유(02)","65kcal","커피음료(블랙)","0kcal","치킨무","7.5kcal","","","3800.92kcal"
"2024-12-24","총각김치(09)","20.8kcal","섞박지(09)","26.6kcal","무알콜맥주vs탄산음료","90kcal","","","3800.92kcal"
"2024-12-25","쌀밥","319.5kcal","쌀밥","319.5kcal","쌀밥","319.5kcal","","","2768.19kcal"
"2024-12-25","쇠고기무국(05)(06)(16)","51.14kcal","앙버터모닝빵(01)(02)(06)","0kcal","쇠고기아욱국(05)(06)(16)","68.04kcal","","","2768.19kcal"
"2024-12-25","두부찜(05)","276kcal","팽이버섯유부장국(01)(05)(06)","33.04kcal","볼어묵볶음(05)(06)","117.09kcal","","","2768.19kcal"
"2024-12-25","돈육김치조림(05)(09)(10)","458.59kcal","바베큐폭립(02)(05)(06)(10)(12)(13)","228.51kcal","돼지고기감자조림(05)(06)(10)","287.03kcal","","","2768.19kcal"
"2024-12-25","백색우유(02)","65kcal","모듬피클","61.6kcal","감귤","54.37kcal","","","2768.19kcal"
"2024-12-25","깍두기(09)","15.2kcal","배추김치(09)","47.04kcal","배추김치(09)","47.04kcal","","","2768.19kcal"
"2024-12-26","쌀밥","319.5kcal","혼합잡곡밥","339.25kcal","블랙버거(01)(02)(05)(06)(10)(12)(13)(16)(17)","531.93kcal","","","4580.32kcal"
"2024-12-26","순두부김치찌개(05)(09)(10)(16)","43.72kcal","닭장각삼계탕(15)","524.03kcal","케이준감자튀김(05)(06)","314.4kcal","","","4580.32kcal"
"2024-12-26","비엔나소시지야채볶음(05)(06)","281.19kcal","매콤돈육연탄불고기&파채(05)(06)(10)","1088.6kcal","백색우유(02)","65kcal","","","4580.32kcal"
"2024-12-26","계란찜(01)(09)","86.91kcal","아삭이고추된장무침(05)(06)","35.78kcal","탄산음료(자몽)","0kcal","","","4580.32kcal"
"2024-12-26","두유(05)","250kcal","국화빵(04)(06)","115kcal","시리얼(02)(04)(06)","218.06kcal","","","4580.32kcal"
"2024-12-26","깍두기(09)","15.2kcal","깍두기(09)","15.2kcal","치킨텐더샐러드(01)(05)(06)(12)(15)","336.55kcal","","","4580.32kcal"
"2024-12-27","쌀밥","319.5kcal","검은콩밥(05)","340.15kcal","현미밥","337.65kcal","","","3344.41kcal"
"2024-12-27","쇠고기육개장(05)(06)(16)","202.13kcal","나가사끼짬뽕찌개(05)(06)(09)(10)(15)(17)(18)","158.1kcal","어묵김치찌개(05)(06)(08)(16)","64.45kcal","","","3344.41kcal"
"2024-12-27","버섯야채볶음(05)(06)","58.97kcal","매콤깐풍기(01)(02)(04)(05)(06)(15)(16)(18)","371.58kcal","분모자안동찜닭(05)(06)(15)","619.17kcal","","","3344.41kcal"
"2024-12-27","너비아니구이(02)(05)(06)(10)(12)(15)(16)","465kcal","오이고추장무침(06)","29.93kcal","간장깻잎지","8.07kcal","","","3344.41kcal"
"2024-12-27","초코우유(02)","194kcal","사과(후지)","42.63kcal","후식(1종)(급식부대별 품목 알러지 별도 표기 요망)","39kcal","","","3344.41kcal"
"2024-12-27","배추김치(09)","47.04kcal","배추김치(09)","47.04kcal","파김치(09)","0kcal","","","3344.41kcal"
"2024-12-28","주먹밥(불고기맛)(16)","380kcal","","","쌀밥","319.5kcal","","","3258.04kcal"
"2024-12-28","잠봉뵈르바게트샌드위치(01)(02)(05)(06)(10)(12)(16)","686.49kcal","","","두부된장찌개(05)(06)","78.02kcal","","","3258.04kcal"
"2024-12-28","백색우유(02)","65kcal","","","제육고추장불고기(05)(06)(10)","1018.83kcal","","","3258.04kcal"
"2024-12-28","시리얼(02)(04)(06)","218.06kcal","","","양배추쌈(05)(06)","67.43kcal","","","3258.04kcal"
"2024-12-28","감귤","54.37kcal","","","떠먹는발효유(02)","100kcal","","","3258.04kcal"
"2024-12-28","카스테라(01)(02)(05)(06)","162.72kcal","","","총각김치(09)","20.8kcal","","","3258.04kcal"
"2024-12-28","닭가슴살샐러드(05)(06)(15)","86.82kcal","","","","","","","3258.04kcal"
"2024-12-29","참치죽(완)(05)(07)","0kcal","쌀밥","319.5kcal","쌀밥","319.5kcal","","","2496.75kcal"
"2024-12-29","돈육장조림(완)(05)(06)(10)","56.25kcal","콩나물김치국(05)(06)(09)(16)","14kcal","버섯샤브국(02)(05)(06)(15)(16)","37.62kcal","","","2496.75kcal"
"2024-12-29","시리얼(02)(04)(06)","218.06kcal","돼지고기깻잎볶음(05)(06)(10)","538.84kcal","매콤폭찹스테이크(02)(05)(06)(10)(12)(16)(18)","214.51kcal","","","2496.75kcal"
"2024-12-29","백색우유(02)","65kcal","오이지무침","3.19kcal","후식(1종)(급식부대별 품목 알러지 별도 표기 요망)","39kcal","","","2496.75kcal"
"2024-12-29","배추김치(09)","47.04kcal","샌드형아이스크림(02)","195kcal","푸실리샐러드(완)(05)(06)(12)(16)","235kcal","","","2496.75kcal"
"2024-12-29","","","깍두기(09)","15.2kcal","모닝빵(1)(01)(02)(05)(06)","132kcal","","","2496.75kcal"
"2024-12-29","","","","","배추김치(09)","47.04kcal","","","2496.75kcal"
"2024-12-30","쌀밥","319.5kcal","찹쌀밥","351.5kcal","흑미밥","338.25kcal","","","2689.94kcal"
"2024-12-30","사골우거지국(05)(06)(16)","49.89kcal","등뼈감자탕(05)(06)(10)","335.17kcal","얼큰황태채국(01)(05)(06)(09)(16)","62.15kcal","","","2689.94kcal"
"2024-12-30","돈육야채볶음(05)(06)(10)","341.81kcal","메밀전병(02)(05)(06)(10)(16)(18)","150.7kcal","닭갈비(05)(06)(15)","278.7kcal","","","2689.94kcal"
"2024-12-30","대게살계란찜(01)(09)","98.69kcal","부추겉절이(05)(06)","14.55kcal","시금치무침(05)(06)(16)","22.39kcal","","","2689.94kcal"
"2024-12-30","바나나맛우유(02)","237.8kcal","맛밤","0kcal","배추김치(09)","47.04kcal","","","2689.94kcal"
"2024-12-30","깍두기(09)","15.2kcal","섞박지(09)","26.6kcal","","","","","2689.94kcal"
"2024-12-31","쌀밥","319.5kcal","새우완탕쌀국수(06)(15)","580.54kcal","찰현미밥","337.65kcal","","","3109.70kcal"
"2024-12-31","햄두부찌개(05)(06)(10)(16)","125.85kcal","보리밥&고추장(1/2)(05)(06)","155.55kcal","팽이버섯계란국(01)(05)(06)(16)","62.79kcal","","","3109.70kcal"
"2024-12-31","제육간장불고기(05)(10)","92.39kcal","쏘세지롤도그(06)(10)(12)","530.5kcal","떡닭강정&치즈볼(02)(04)(05)(06)(15)","493.24kcal","","","3109.70kcal"
"2024-12-31","오이양파무침(05)(06)","22.45kcal","알배기배추겉절이(09)(16)","24.33kcal","흑임자샐러드(01)(05)","49.83kcal","","","3109.70kcal"
"2024-12-31","백색우유(02)","65kcal","후식(1종)(급식부대별 품목 알러지 별도 표기 요망)","39kcal","쥬시쿨(자두맛)(02)","117kcal","","","3109.70kcal"
"2024-12-31","배추김치(09)","47.04kcal","","0","배추김치(09)","47.04kcal","","","3109.70kcal"
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"2024-12-05","","","갓김치(09)","0kcal","제로콜라","50kcal","","","3140.10kcal"
"2024-12-06","쌀밥(소량)","106.5kcal","감바스라이스(완)(02)(06)(07)(08)(09)(10)(15)(16)(17)(18)","483kcal","흑미밥","338.25kcal","","","3737.55kcal"
"2024-12-06","얼큰만둣국(01)(02)(05)(06)(10)(15)(16)(18)","346.38kcal","묵은지김치찌개(05)(06)(09)(10)(16)","249.36kcal","매운꼬치어묵탕(05)(06)(13)(16)(18)","108.78kcal","","","3737.55kcal"
"2024-12-06","스팸구이(05)(10)(13)","289kcal","오징어야채무침(05)(06)(17)","164.18kcal","돈가스(02)(05)(06)(10)(12)(16)(18)","741.5kcal","","","3737.55kcal"
"2024-12-06","무말랭이무침","85.35kcal","브로콜리&참깨드레싱(01)(05)(06)","152.49kcal","쫄면야채무침(05)(06)","47.88kcal","","","3737.55kcal"
"2024-12-06","딸기우유(02)","190kcal","드링킹요구르트(베리)(02)","275kcal","샤인머스켓","45kcal","","","3737.55kcal"
"2024-12-06","배추김치(09)","47.04kcal","총각김치(09)","20.8kcal","배추김치(09)","47.04kcal","","","3737.55kcal"
"2024-12-07","투움바스파게티(02)(06)(09)(10)","564.97kcal","컵라면(06)","365kcal","쌀밥","319.5kcal","","","3124.55kcal"
"2024-12-07","감귤","54.37kcal","","","쇠고기우거지국(05)(06)(16)","70.51kcal","","","3124.55kcal"
"2024-12-07","닭가슴살샐러드(05)(06)(15)","86.82kcal","","","돼지고기사태찜(10)","769.98kcal","","","3124.55kcal"
"2024-12-07","백색우유(02)","65kcal","","","새송이버섯장조림(01)(05)(06)(16)","105.94kcal","","","3124.55kcal"
"2024-12-07","브라운브레드(02)(06)","489.2kcal","","","깍두기(09)","15.2kcal","","","3124.55kcal"
"2024-12-07","시리얼(02)(04)(06)","218.06kcal","","","","","","","3124.55kcal"
"2024-12-08","대파크림치즈베이글(02)(06)","701.8kcal","쌀밥","319.5kcal","쌀밥","319.5kcal","","","3043.50kcal"
"2024-12-08","베이컨구이(10)","232kcal","감자된장국(05)(06)","50.39kcal","홍합탕(18)","28.79kcal","","","3043.50kcal"
"2024-12-08","스크램블에그(01)(12)","92.1kcal","대패삼겹살고추장볶음(05)(06)(10)","368.62kcal","눈꽃치즈닭갈비(02)(05)(06)(15)(16)(18)","326.61kcal","","","3043.50kcal"
"2024-12-08","백색우유(02)","65kcal","새우살계란찜(01)(09)","109.96kcal","볼어묵볶음(05)(06)","117.09kcal","","","3043.50kcal"
"2024-12-08","시리얼(02)(04)(06)","218.06kcal","컵형아이스크림(01)","0kcal","배추김치(09)","47.04kcal","","","3043.50kcal"
"2024-12-08","","","배추김치(09)","47.04kcal","","","","","3043.50kcal"
"2024-12-09","쌀밥","319.5kcal","찹쌀밥","351.5kcal","햄야채볶음밥(01)(10)(18)","597.97kcal","","","4314.80kcal"
"2024-12-09","바지락아욱된장국(05)(06)(18)","38.74kcal","대구탕(05)(06)(09)","111.82kcal","짬뽕국물(05)(06)(16)(17)","70.9kcal","","","4314.80kcal"
"2024-12-09","두부구이&양념장(05)(06)","325.1kcal","안동찜닭(05)(06)(15)","775.93kcal","만두튀김(01)(05)(06)(10)","758.06kcal","","","4314.80kcal"
"2024-12-09","소불고기(05)(06)(16)","575.23kcal","오이된장무침(05)(06)(16)","21.73kcal","후식(1종)(급식부대별 품목 알러지 별도 표기 요망)","39kcal","","","4314.80kcal"
"2024-12-09","마시는발효유(02)","70.6kcal","아이스홍시","200kcal","배추김치&단무지(09)","28.32kcal","","","4314.80kcal"
"2024-12-09","깍두기(09)","15.2kcal","깍두기(09)","15.2kcal","","","","","4314.80kcal"
"2024-12-10","버터간장계란밥(01)(02)(05)(06)","803.44kcal","유부우동(05)(06)","73.9kcal","통밀잡곡밥(06)","284.92kcal","","","2771.99kcal"
"2024-12-10","닭고기무국(05)(06)(15)","59.47kcal","쌀밥(소량)","106.5kcal","순대내장탕(05)(06)(09)(10)(16)","421.58kcal","","","2771.99kcal"
"2024-12-10","김치볶음(09)","46.78kcal","돈육연탄불고기(05)(06)(10)","426.81kcal","양념고추지","49.6kcal","","","2771.99kcal"
"2024-12-10","","168.46kcal","단무지부추무침","15.85kcal","가리비야채초무침(05)(06)(18)","143.21kcal","","","2771.99kcal"
"2024-12-10","백색우유(02)","65kcal","사과(후지)","42.63kcal","백김치(수의)(09)","16.8kcal","","","2771.99kcal"
"2024-12-10","","","배추김치(09)","47.04kcal","","","","","2771.99kcal"
"2024-12-11","쌀밥(소량)","106.5kcal","꼬막비빔밥(05)(06)(18)","388.39kcal","흑미밥","338.25kcal","","","3723.65kcal"
"2024-12-11","누들떡국(01)(05)(06)(16)","287.93kcal","두부된장찌개(05)(06)","78.02kcal","청양계란국(01)(16)","77.35kcal","","","3723.65kcal"
"2024-12-11","돈육메추리알조림(01)(05)(06)(10)","245.3kcal","언양식반달불고기(02)(05)(06)(10)(12)(15)(16)","503.1kcal","돈마호크카츠(01)(05)(06)(10)(16)","761.4kcal","","","3723.65kcal"
"2024-12-11","연두부양념장(05)(06)","204.75kcal","붕어빵(01)(02)(06)","165.1kcal","파스타샐러드(05)(06)(18)","169.11kcal","","","3723.65kcal"
"2024-12-11","두유(05)","250kcal","파김치(09)","0kcal","감귤","54.37kcal","","","3723.65kcal"
"2024-12-11","배추김치(09)","47.04kcal","","","배추김치(09)","47.04kcal","","","3723.65kcal"
"2024-12-12","쌀밥","319.5kcal","검은콩밥(05)","340.15kcal","치킨너겟(01)(02)(05)(06)(12)(15)","653.05kcal","","","3694.46kcal"
"2024-12-12","황태콩나물해장국(01)(05)(06)(16)","71.55kcal","감자호박국(05)(06)(09)","51.76kcal","리코타치즈샐러드(02)","118.91kcal","","","3694.46kcal"
"2024-12-12","비엔나소시지케찹볶음(05)(06)(10)(12)(16)","343.19kcal","묵은지수육삼합(05)(10)","657.9kcal","톡톡콘치즈핫도그(01)(02)(05)(06)(10)(16)","582.96kcal","","","3694.46kcal"
"2024-12-12","무생채(09)","15.02kcal","상추쌈(05)(06)","62.37kcal","시리얼(02)(04)(06)","218.06kcal","","","3694.46kcal"
"2024-12-12","배추김치(09)","47.04kcal","양념새우살장(09)","82.4kcal","백색우유(02)","65kcal","","","3694.46kcal"
"2024-12-12","","","후식(1종)(급식부대별 품목 알러지 별도 표기 요망)","39kcal","탄산음료(사이다)","0kcal","","","3694.46kcal"
"2024-12-12","","","섞박지(09)","26.6kcal","","","","","3694.46kcal"
"2024-12-13","쌀밥","319.5kcal","혼합잡곡밥","339.25kcal","통밀잡곡밥(06)","284.92kcal","","","3504.25kcal"
"2024-12-13","감자수제비(05)(06)","42.51kcal","마라탕(05)(06)(08)(09)(10)(15)(16)","356.99kcal","순두부김치찌개(05)(09)(10)(16)","43.72kcal","","","3504.25kcal"
"2024-12-13","돈육청경채볶음(05)(06)(10)","478.27kcal","목화솜탕수육(05)(06)(10)","852.24kcal","오리훈제야채볶음(01)(15)(18)","410.09kcal","","","3504.25kcal"
"2024-12-13","궁채장아찌(05)","15.5kcal","단무지무침","12.71kcal","가쓰오계란말이(01)(05)","96.31kcal","","","3504.25kcal"
"2024-12-13","가공우유(메론)(02)","190kcal","잔치집식혜","0kcal","갓김치(09)","0kcal","","","3504.25kcal"
"2024-12-13","깍두기(09)","15.2kcal","배추김치(09)","47.04kcal","","","","","3504.25kcal"
"2024-12-14","햄치즈에그샌드위치(01)(02)(05)(06)(10)(12)","511.95kcal","건빵(개선품)(01)(02)(03)","249kcal","쌀밥","319.5kcal","","","3150.24kcal"
"2024-12-14","아란치니(02)(05)(10)(12)","570.36kcal","","","팽이버섯된장국(05)(06)","35.98kcal","","","3150.24kcal"
"2024-12-14","바나나","0kcal","","","오삼불고기(02)(05)(06)(10)(16)(17)(18)","873.04kcal","","","3150.24kcal"
"2024-12-14","크래미양상추샐러드(01)(05)(06)(08)","144.59kcal","","","시금치무침(05)(06)(16)","22.39kcal","","","3150.24kcal"
"2024-12-14","시리얼(02)(04)(06)","218.06kcal","","","감귤","54.37kcal","","","3150.24kcal"
"2024-12-14","도넛(01)(02)(04)(05)(06)","70.8kcal","","","깍두기(09)","15.2kcal","","","3150.24kcal"
"2024-12-14","백색우유(02)","65kcal","","","","","","","3150.24kcal"
"2024-12-15","쇠고기죽(완)(16)","275kcal","쌀밥","319.5kcal","쌀밥","319.5kcal","","","3312.02kcal"
"2024-12-15","동그랑땡데리야끼조림(02)(05)(06)(10)(15)(16)(18)","353.92kcal","콩나물김치국(05)(06)(09)(16)","14kcal","감자옹심이국(05)(06)(16)","120.62kcal","","","3312.02kcal"
"2024-12-15","무말랭이무침","85.35kcal","치킨스테이크(15)","415.4kcal","쇠고기파프리카볶음(05)(06)(16)","350.02kcal","","","3312.02kcal"
"2024-12-15","시리얼(02)(04)(06)","218.06kcal","콘형아이스크림(02)","400kcal","오징어젓무침(17)","53.66kcal","","","3312.02kcal"
"2024-12-15","백색우유(02)","65kcal","고구마샐러드&모닝빵(01)(02)(05)(06)","220.75kcal","후식(1종)(급식부대별 품목 알러지 별도 표기 요망)","39kcal","","","3312.02kcal"
"2024-12-15","","0","깍두기(09)","15.2kcal","배추김치(09)","47.04kcal","","","3312.02kcal"
"2024-12-16","쌀밥","319.5kcal","소머리국밥(06)(09)(16)","727.03kcal","통밀잡곡밥(06)","284.92kcal","","","3147.45kcal"
"2024-12-16","스팸짜글이(05)(06)(09)(10)(13)(16)","252.3kcal","베이컨감자채볶음(05)(10)(13)","175.73kcal","얼큰돈육찌개(05)(06)(10)(16)","85.98kcal","","","3147.45kcal"
"2024-12-16","닭순살피망볶음(05)(06)(15)","293.14kcal","코다리순살꽈리고추조림(05)","138.93kcal","미트볼데리야끼조림(02)(05)(06)(10)(12)(15)(16)","311.3kcal","","","3147.45kcal"
"2024-12-16","오이지무침","3.19kcal","찹쌀도너츠","296.1kcal","무부추무침(05)(06)(09)","15.29kcal","","","3147.45kcal"
"2024-12-16","토핑형발효유(02)(06)","165kcal","깍두기(09)","15.2kcal","백김치(수의)(09)","16.8kcal","","","3147.45kcal"
"2024-12-16","배추김치(09)","47.04kcal","","","","","","","3147.45kcal"
